problem_idx	type	r_idx	position	token_text	classification	H	pi	max_pi	is_correct
0	Intermediate Algebra	0	109	First	ambiguous	1.3037	2.785202e-01	0.5203	False
0	Intermediate Algebra	0	113	 rewrite	ambiguous	1.5900	3.943607e-01	0.3944	False
0	Intermediate Algebra	0	160	 change	ambiguous	1.7295	5.436528e-01	0.5437	False
0	Intermediate Algebra	0	166	 by	ambiguous	1.4813	3.692643e-01	0.3693	False
0	Intermediate Algebra	0	169	 sum	ambiguous	1.9690	4.498547e-01	0.4499	False
0	Intermediate Algebra	0	244	 Hence	reasoning	1.8280	3.992985e-02	0.3788	False
0	Intermediate Algebra	0	317	Now	reasoning	1.5391	2.968316e-01	0.3811	False
0	Intermediate Algebra	0	321	 break	ambiguous	1.6313	3.247399e-01	0.3247	False
0	Intermediate Algebra	0	455	Here	ambiguous	1.9170	5.866840e-02	0.3376	False
0	Intermediate Algebra	0	458	 term	ambiguous	2.3165	2.265874e-01	0.2266	False
0	Intermediate Algebra	0	542	Thus	reasoning	1.3549	4.728794e-01	0.4729	False
0	Intermediate Algebra	0	545	 final	ambiguous	1.4194	3.324711e-01	0.4269	False
0	Intermediate Algebra	0	566	Let	reasoning	1.4967	5.520336e-01	0.5520	False
0	Intermediate Algebra	0	571	 using	ambiguous	1.4292	7.965331e-02	0.5886	False
0	Intermediate Algebra	0	589	 variables	ambiguous	1.4074	2.451875e-01	0.4042	False
0	Intermediate Algebra	0	597	.Symbol	ambiguous	1.3141	3.437006e-01	0.4413	False
0	Intermediate Algebra	0	610	 expression	ambiguous	1.3117	4.735760e-01	0.4736	False
0	Intermediate Algebra	1	3	 sum	ambiguous	1.9708	1.787238e-01	0.3339	False
0	Intermediate Algebra	1	6	 the	reasoning	2.3199	2.741903e-01	0.2742	False
0	Intermediate Algebra	1	7	 coefficients	ambiguous	2.5612	3.724564e-02	0.2143	False
0	Intermediate Algebra	1	8	 of	ambiguous	1.3894	1.953024e-01	0.5309	False
0	Intermediate Algebra	1	12	 in	ambiguous	1.4220	5.156587e-01	0.5157	False
0	Intermediate Algebra	1	14	[(	ambiguous	1.6805	2.389882e-01	0.3069	False
0	Intermediate Algebra	1	52	 duro	ambiguous	2.3914	3.794142e-03	0.0408	False
0	Intermediate Algebra	1	58	Let	reasoning	2.3577	1.993217e-01	0.1993	False
0	Intermediate Algebra	1	60	 solve	ambiguous	1.7281	3.503235e-01	0.3503	False
0	Intermediate Algebra	1	78	 define	ambiguous	1.6377	1.200221e-01	0.5379	False
0	Intermediate Algebra	1	79	 the	reasoning	1.3402	2.132469e-01	0.5116	False
0	Intermediate Algebra	1	80	 following	ambiguous	2.2814	7.030298e-02	0.2454	False
0	Intermediate Algebra	1	81	 series	ambiguous	1.8973	2.305599e-01	0.3355	False
0	Intermediate Algebra	1	152	 double	ambiguous	1.3343	4.455560e-01	0.4456	False
0	Intermediate Algebra	1	228	 series	ambiguous	1.6847	2.533410e-01	0.2871	False
0	Intermediate Algebra	1	278	 Step	ambiguous	1.4393	5.553194e-01	0.5553	False
0	Intermediate Algebra	1	289	 Define	ambiguous	1.6296	5.657104e-01	0.5657	False
0	Intermediate Algebra	1	301	The	reasoning	1.7712	5.188617e-01	0.5189	False
0	Intermediate Algebra	1	315	 mathematical	ambiguous	1.5801	1.097612e-01	0.5574	False
0	Intermediate Algebra	1	333	 is	ambiguous	1.4357	5.454347e-01	0.5454	False
0	Intermediate Algebra	1	334	 \(	noise	1.7465	2.292967e-01	0.2293	False
0	Intermediate Algebra	1	401	also	ambiguous	2.1152	1.893805e-01	0.3122	False
0	Intermediate Algebra	1	413	 in	ambiguous	1.4557	5.644237e-01	0.5644	False
0	Intermediate Algebra	1	432	 Express	ambiguous	1.9155	3.461890e-01	0.3462	False
0	Intermediate Algebra	1	437	The	reasoning	1.2926	2.750442e-01	0.5139	False
0	Intermediate Algebra	1	440	 can	ambiguous	1.8577	2.965715e-01	0.2966	False
0	Intermediate Algebra	1	442	 written	ambiguous	1.8405	3.350852e-01	0.3351	False
0	Intermediate Algebra	1	483	This	ambiguous	1.7133	1.838237e-01	0.3892	False
0	Intermediate Algebra	1	488	 related	ambiguous	2.2884	1.873754e-01	0.1874	False
0	Intermediate Algebra	1	504	 clever	ambiguous	1.9485	7.166318e-02	0.4124	False
0	Intermediate Algebra	1	507	 By	ambiguous	2.1815	5.198310e-02	0.2991	False
0	Intermediate Algebra	1	508	 considering	reasoning	2.2208	1.727315e-01	0.2513	False
0	Intermediate Algebra	1	510	 generating	ambiguous	1.9113	9.940404e-02	0.3470	False
0	Intermediate Algebra	1	512	 for	ambiguous	1.4762	4.887527e-01	0.4888	False
0	Intermediate Algebra	1	518	 find	ambiguous	1.9390	2.256778e-01	0.2557	False
0	Intermediate Algebra	1	538	 Find	ambiguous	1.9608	2.938861e-01	0.2939	False
0	Intermediate Algebra	1	598	We	ambiguous	1.8696	2.752529e-01	0.2753	False
0	Intermediate Algebra	1	641	 expansion	ambiguous	1.5518	4.562095e-01	0.4562	False
0	Intermediate Algebra	1	664	We	ambiguous	2.1832	1.238310e-01	0.2042	False
0	Intermediate Algebra	1	721	This	ambiguous	1.6573	2.683527e-01	0.3905	False
0	Intermediate Algebra	1	727	 the	reasoning	1.8677	1.970111e-01	0.3681	False
0	Intermediate Algebra	1	755	We	ambiguous	1.5016	1.748745e-01	0.5387	False
0	Intermediate Algebra	1	757	 solve	ambiguous	2.0291	3.603759e-02	0.2663	False
0	Intermediate Algebra	1	766	```	noise	1.3054	3.940226e-01	0.3940	False
0	Intermediate Algebra	1	789	_k	ambiguous	1.9286	1.454101e-01	0.3277	False
0	Intermediate Algebra	1	910	###	ambiguous	1.5888	5.544531e-01	0.5545	False
0	Intermediate Algebra	1	911	 Final	ambiguous	1.9335	3.165145e-01	0.3165	False
0	Intermediate Algebra	1	917	 sum	ambiguous	1.7203	3.147534e-01	0.3148	False
0	Intermediate Algebra	1	968	): 	ambiguous	1.4456	1.492536e-01	0.4597	False
0	Intermediate Algebra	2	1	To	ambiguous	1.6816	5.067703e-01	0.5068	False
0	Intermediate Algebra	2	58	 need	ambiguous	1.3874	3.803096e-01	0.3803	False
0	Intermediate Algebra	2	60	 carefully	reasoning	1.6630	6.036736e-02	0.5727	False
0	Intermediate Algebra	2	63	 given	ambiguous	2.1008	1.290487e-01	0.3096	False
0	Intermediate Algebra	2	64	 sums	ambiguous	1.4523	4.692641e-01	0.4693	False
0	Intermediate Algebra	2	70	 start	ambiguous	2.1614	1.505522e-02	0.2355	False
0	Intermediate Algebra	2	73	 definition	ambiguous	2.0683	2.854349e-01	0.2854	False
0	Intermediate Algebra	2	77	 We	ambiguous	1.9287	9.742266e-02	0.3001	False
0	Intermediate Algebra	2	78	 have	ambiguous	1.3578	2.741061e-01	0.3988	False
0	Intermediate Algebra	2	104	This	ambiguous	1.4683	6.973995e-02	0.4548	False
0	Intermediate Algebra	2	107	 Basel	ambiguous	1.2934	4.898270e-01	0.4898	False
0	Intermediate Algebra	2	112	 value	ambiguous	1.5761	3.904589e-01	0.3905	False
0	Intermediate Algebra	2	169	 not	reasoning	1.4507	2.321616e-01	0.5569	False
0	Intermediate Algebra	2	174	 is	ambiguous	1.3052	4.870704e-01	0.4871	False
0	Intermediate Algebra	2	176	 known	ambiguous	2.0081	4.189091e-01	0.4189	False
0	Intermediate Algebra	2	177	 result	ambiguous	1.4641	4.987368e-02	0.6076	False
0	Intermediate Algebra	2	179	Now	reasoning	1.7230	3.673880e-01	0.3674	False
0	Intermediate Algebra	2	222	This	ambiguous	1.4854	1.760681e-01	0.4224	False
0	Intermediate Algebra	2	226	 thought	ambiguous	2.3016	1.223314e-02	0.3575	False
0	Intermediate Algebra	2	232	 set	ambiguous	2.4638	6.506373e-02	0.2271	False
0	Intermediate Algebra	2	234	 all	ambiguous	1.4518	4.757606e-01	0.4758	False
0	Intermediate Algebra	2	250	 terms	ambiguous	1.4026	1.094178e-01	0.4904	False
0	Intermediate Algebra	2	281	 simpl	ambiguous	1.7686	3.343880e-01	0.3344	False
0	Intermediate Algebra	2	308	 so	ambiguous	1.3990	1.174185e-01	0.4098	False
0	Intermediate Algebra	2	309	 the	reasoning	1.5637	4.251417e-01	0.4251	False
0	Intermediate Algebra	2	312	 \(	noise	1.6835	2.165267e-01	0.3150	False
0	Intermediate Algebra	2	315	 includes	ambiguous	2.4521	4.440769e-02	0.1756	False
0	Intermediate Algebra	2	316	 all	ambiguous	2.2970	1.731836e-01	0.2224	False
0	Intermediate Algebra	2	317	 terms	ambiguous	1.5623	4.564076e-01	0.4564	False
0	Intermediate Algebra	2	325	 All	ambiguous	2.5309	8.719697e-03	0.2249	False
0	Intermediate Algebra	2	328	 are	ambiguous	2.1148	1.659992e-01	0.2737	False
0	Intermediate Algebra	2	329	 counted	ambiguous	1.7161	4.966165e-01	0.4966	False
0	Intermediate Algebra	2	332	 for	ambiguous	1.9368	5.281868e-02	0.3444	False
0	Intermediate Algebra	2	334	 pair	ambiguous	1.5425	4.898334e-01	0.4898	False
